Transaction ID,TimeStamp,Amount,Customer ID,Payment Method
999261,1698617917,1759.69,5655,PayPal
785175,1690195733,1237.34,11738,PayPal
731665,1695778565,1644.61,11167,Google Pay
330716,1681465168,923.89,8895,Google Pay
550474,1686770039,1192.04,12054,Credit Card
186964,1689618297,924.41,6303,Google Pay
470966,1698413149,219.55,9132,Credit Card
506664,1700788528,495.85,7131,PayPal
137670,1679971721,1105.72,11600,Debit Card
984131,1700374385,1159.73,6515,Google Pay
315042,1688781490,458.28,13868,Google Pay
191673,1705218246,1855.4,12710,PayPal
211890,1682925876,737.0,10517,Google Pay
766286,1680852776,1374.65,12527,PayPal
974065,1693946725,1050.41,13917,Google Pay
965618,1691404096,1599.77,11044,PayPal
123751,1687092337,519.85,13176,PayPal
629456,1700560064,220.61,13458,Debit Card
297877,1706534996,1148.14,5745,Google Pay
973434,1703855591,535.05,8593,Debit Card
860361,1705092605,207.48,6752,Google Pay
339947,1684224039,1850.94,8925,Credit Card
750640,1703271036,786.57,12683,Credit Card
694781,1701816893,612.68,8802,Google Pay
664478,1706127005,1860.35,6877,Google Pay
931899,1706515865,1168.46,9195,Debit Card
400187,1693907118,1225.02,6036,Google Pay
190071,1697213472,430.84,11808,PayPal
505228,1694220377,1113.1,8180,Debit Card
690819,1683418650,752.51,12087,Google Pay
719939,1705534132,1938.39,10848,Debit Card
750957,1682839680,953.72,11608,Google Pay
614670,1692671241,1203.69,6545,Debit Card
921656,1683074418,1197.21,7446,Debit Card
442632,1692969752,825.77,9421,Credit Card
330194,1690115225,1857.11,11603,PayPal
854534,1685210146,252.38,11133,Credit Card
116024,1695078308,859.76,7236,PayPal
692342,1696303725,1200.23,13969,Debit Card
497050,1677436990,281.12,13078,Debit Card
907053,1698876305,213.97,8497,Google Pay
848560,1680500385,1471.56,6803,Credit Card
149050,1691703314,1788.16,11569,Google Pay
547997,1700415806,621.97,8779,Google Pay
247731,1681964843,312.27,12844,Google Pay
705266,1704351018,1144.25,13850,Debit Card
805508,1697385898,624.33,5941,Google Pay
579640,1707829449,535.49,11122,Credit Card
171825,1690183461,699.94,8782,Debit Card
552489,1695347163,741.56,7252,Credit Card
994705,1695781755,1907.88,10723,Debit Card
